text_id,text,field_type,span_text,start_char,end_char,normalized_value
0,У Тома є мотоцикл. Я вивчаю фарсі.,PERSON,Тома,3,7,тома
1,Вона має білого кота. Я не люблю каву.,,,,,
2,Схоже на апельсин. Маю ще одне запитання.,,,,,
3,Вона має білого кота. Він має собаку.,,,,,
4,У мене є бібліотечна картка. Вчора ввечері мені вкрали ровер.,,,,,
5,В тебе є запальничка? Ти говориш голандською?,,,,,
6,У мене є собака. На стіні висить географічна карта.,,,,,
7,У мене є віслюк. В них коротка пам'ять?,,,,,
8,Куди ти йдеш? Я не хочу говорити про погоду.,,,,,
9,Йде дощ. Падає дощ.,,,,,
10,Оранжевий - мій улюблений колір. У Тома є час.,PERSON,Тома,36,40,тома
11,Том плакатиме. Том буде плакати.,PERSON,Том,1,4,том
12,Це буде важко зробити. Скільки років вашому батькові?,,,,,
13,Чого бракує? Чого не вистачає?,,,,,
14,Мені дев'ятнадцять. Самі мав зелені очі.,PERSON,Самі,21,25,самі
15,Я вивчаю ісландську мову. Мері подобається Тому.,PERSON,Мері,27,31,мері
16,У неї довге волосся. Том мешкає по сусідству.,PERSON,Том,22,25,том
17,Ти мені подобаєшся. Ти подобаєшся мені.,,,,,
18,У Тома брат та сестра. Том має брата і сестру.,PERSON,Тома,3,7,тома
19,Ти повинен тримати себе в руках. Ми не маємо цукру.,,,,,
20,"Можливо. Цікаво, чи у Тома є права.",PERSON,Тома,23,27,тома
21,Том сів поруч із Мері. Том сів біля Мері.,PERSON,Том,1,4,том
22,Привіт іще раз. Ще раз привіт.,,,,,
23,Том їсть рибу як мінімум раз на тиждень. Том їсть рибу принаймні раз на тиждень.,PERSON,Том,1,4,том
24,"Мені цікаво, чи я можу це зробити. Чюѥмо ѹшима.",,,,,
25,"Я знаю, що Том ненабагато вищий від мене. Жоден інший собака не більший за цього.",PERSON,Том,12,15,том
26,Літак злітає за 10 хвилин. Літак злітає за десять хвилин.,,,,,
27,Скільки років твоєму батькові? Я маю трохи більше п'яти доларів.,,,,,
28,Скільки у Тома гітар? Скільки Том має гітар?,PERSON,Тома,11,15,тома
29,Том - лікар. Про вовка промовка.,PERSON,Том,1,4,том
30,Мій батько голиться у ванні. Вже майже третя година.,,,,,
31,Том був сміливий. Том був хоробрий.,PERSON,Том,1,4,том
32,Том закрив одне око. Бога не існує.,PERSON,Том,1,4,том
33,"Гайда, ходімо! Том надзвичайно багатий.",PERSON,Том,16,19,том
34,Ви граєте у футбол? Мені подобається говорити валійською мовою.,,,,,
35,"Нічого, і на вашій вулиці обов'язково перевернеться вантажівка з печивом. Мені однаково.",,,,,
36,Я маю багато друзів. Що в вас є поїсти?,,,,,
37,"Алфавіт есперанто складається з 28 літер: a, b, c, ĉ, d, e, f, g, ĝ, h, ĥ, i, j, ĵ, k, l, m, n, o, p, r, s, ŝ, t, u, ŭ, v, z. Том впевнений, що Мері права.",PERSON,Том,127,130,том
38,У Тома аутизм та синдром порушення активності та уваги. Ось чому він був розлючений.,PERSON,Тома,3,7,тома
39,У Тома багато справ. Він не дурний.,PERSON,Тома,3,7,тома
40,"Ліпше бути вар'яткою, ніж нудною! Краще бути божевільною, ніж нудною!",,,,,
41,Том не бреше. Том має дві черепахи.,PERSON,Том,1,4,том
42,Я не знаю. Я маю кота.,,,,,
43,У тебе є телефон? Маєш телефон?,,,,,
44,Том був сміливий. Том був відважний.,PERSON,Том,1,4,том
45,"Як пишеться ""pretty""? Знов осінь.",,,,,
46,Том християнин? Я повернуся о половині на сьому.,PERSON,Том,1,4,том
47,Йде сніг. Де батько?,,,,,
48,Том - мій кузен. Том - мій двоюрідний брат.,PERSON,Том,1,4,том
49,"У мене більше грошей, ніж у тебе. Я маю більше грошей, ніж ти.",,,,,